"filename", "language", "JSON with Comments", "JSON", "TypeScript", "XML", "TypeScript JSX", "PostCSS", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section2.tsx", "TypeScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 6, 86
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section3.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 2, 10, 119
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section4.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 3, 7, 83
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section5.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 1, 15, 150
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AnnouncementMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 2, 13, 108
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\DailyCoding.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 7, 49
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\IsRotating.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Loading-Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 0, 2, 14, 153
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PlateNum-Btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 5, 51
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PlateNum-Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PopUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 6, 73
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart2.tsx", "TypeScript JSX", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 5, 128
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart3.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 6, 94
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart4.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 5, 125
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 6, 65
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 322, 0, 0, 0, 0, 2, 32, 356
"c:\Users\reymark\Documents\react\vite\capstone1\src\hook\useBreakpoint.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"c:\Users\reymark\Documents\react\vite\capstone1\src\hook\useCustomHook.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 0, 3, 24, 147
"c:\Users\reymark\Documents\react\vite\capstone1\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\reymark\Documents\react\vite\capstone1\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ContactUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 2, 15, 101
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\Documentation.tsx", "TypeScript JSX", 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 27, 363
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\Faqs.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PageNotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PayViolation.tsx", "TypeScript JSX", 0, 0, 0, 0, 214, 0, 0, 0, 0, 6, 32, 252
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PaymentSucces.tsx", "TypeScript JSX", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 24, 151
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProcessViolation.tsx", "TypeScript JSX", 0, 0, 0, 0, 154, 0, 0, 0, 0, 4, 12, 170
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 278, 0, 0, 0, 0, 9, 38, 325
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\UserPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop-AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 1, 8, 94
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop-Faqs.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 4, 63
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop.tsx", "TypeScript JSX", 0, 0, 0, 0, 192, 0, 0, 0, 0, 1, 9, 202
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Mobile-AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 6, 172
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 0, 4, 8, 168
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Tablet.tsx", "TypeScript JSX", 0, 0, 0, 0, 205, 0, 0, 0, 0, 10, 13, 228
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseClient.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseUserLogin.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseUserSubmit.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\hook.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\animation-slice.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\auth-slice.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\user-input-slice.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 4, 81
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\store.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\reymark\Documents\react\vite\capstone1\src\utils\validateUser.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 4, 44
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.app.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.json", "JSON with Comments", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.node.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\reymark\Documents\react\vite\capstone1\vercel.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\reymark\Documents\react\vite\capstone1\vite.config.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"Total", "-", 14, 6550, 249, 2, 4091, 180, 19, 60, 22, 70, 493, 11750
