"filename", "language", "JSON", "Dotenv", "JavaScript JSX", "JSON with Comments", "XML", "TypeScript", "Markdown", "PostCSS", "HTML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 6, 94
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart4.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 5, 125
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 7, 65
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 6, 65
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 10, 93
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 322, 2, 32, 356
"c:\Users\reymark\Documents\react\vite\capstone1\src\hook\useCustomHook.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 2, 7, 55
"c:\Users\reymark\Documents\react\vite\capstone1\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\reymark\Documents\react\vite\capstone1\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ContactUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 4, 48
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\Faqs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PageNotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PayViolation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProcessViolation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 4, 12, 159
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 1, 38, 241
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\UserPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop-AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 1, 11, 102
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop-Faqs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 4, 63
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 1, 8, 195
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Tablet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseClient.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseUserLogin.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseUserSubmit.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\hook.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\animation-slice.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\auth-slice.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\user-input-slice.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 1, 4, 81
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\store.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\reymark\Documents\react\vite\capstone1\src\utils\validateUser.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 4, 44
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.app.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.json", "JSON with Comments", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\reymark\Documents\react\vite\capstone1\vercel.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\reymark\Documents\react\vite\capstone1\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 1, 14
"Total", "-", 6482, 5, 22, 15, 2, 250, 60, 174, 19, 2598, 36, 345, 10008
