"filename", "language", "HTML", "JSON", "JSON with Comments", "JavaScript JSX", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\IsRotating.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Loading-Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 0, 2, 14, 153
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PlateNum-Btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 5, 51
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PlateNum-Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PopUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 6, 73
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart2.tsx", "TypeScript JSX", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 5, 128
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart3.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 6, 94
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart4.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 5, 125
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 6, 65
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 322, 0, 0, 0, 0, 2, 32, 356
"c:\Users\reymark\Documents\react\vite\capstone1\src\hook\useBreakpoint.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"c:\Users\reymark\Documents\react\vite\capstone1\src\hook\useCustomHook.tsx", "TypeScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 0, 3, 23, 145
"c:\Users\reymark\Documents\react\vite\capstone1\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\reymark\Documents\react\vite\capstone1\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ContactUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 2, 15, 101
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\Faqs.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PageNotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PayViolation.tsx", "TypeScript JSX", 0, 0, 0, 0, 214, 0, 0, 0, 0, 6, 32, 252
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PaymentSucces.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 5, 22, 132
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProcessViolation.tsx", "TypeScript JSX", 0, 0, 0, 0, 154, 0, 0, 0, 0, 4, 12, 170
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 256, 0, 0, 0, 0, 9, 35, 300
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\UserPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop-AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 1, 8, 94
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop-Faqs.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 4, 63
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop.tsx", "TypeScript JSX", 0, 0, 0, 0, 193, 0, 0, 0, 0, 1, 8, 202
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Mobile-AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 6, 172
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 0, 4, 7, 163
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Tablet.tsx", "TypeScript JSX", 0, 0, 0, 0, 201, 0, 0, 0, 0, 10, 13, 224
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseClient.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseUserLogin.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseUserSubmit.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\hook.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 1, 6
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\animation-slice.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\auth-slice.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\slices\user-input-slice.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 1, 4, 81
"c:\Users\reymark\Documents\react\vite\capstone1\src\store\store.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\reymark\Documents\react\vite\capstone1\src\utils\validateUser.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 4, 44
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.app.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.json", "JSON with Comments", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.node.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\reymark\Documents\react\vite\capstone1\vercel.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\reymark\Documents\react\vite\capstone1\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 1, 14
"Total", "-", 19, 6550, 14, 22, 3703, 249, 2, 180, 60, 75, 460, 11334
